"covariate","PC","r2","p","n"
"ran_in_way_pipeline","PC1",NA,NA,571
"ClusterK2_kmeans","PC1",0.196232939984568,7.6610555666776e-29,571
"ClusterK3_kmeans","PC1",0.22313775394386,7.20610487901516e-32,571
"ClusterK4_kmeans","PC1",0.285705976587258,3.8308487875723e-41,571
"ClusterK2_NMF","PC1",0.00261625850357157,0.22232620928866,571
"ClusterK3_NMF","PC1",0.109506301014867,4.95634612115377e-15,571
"ClusterK4_NMF","PC1",0.118311392470954,2.08097394892859e-15,571
"ClusterK4_kmeans_TCGA_names","PC1",0.285705976587257,3.83084878757219e-41,571
"external_HGSCsubtype_estimate","PC1",0.215775997862301,0.0311002633994474,40
"failed_seq","PC1",NA,NA,571
"resequenced","PC1",0.000726395311205473,0.520397230911449,571
"low_qual","PC1",0.00198572066055432,0.287774249872539,571
"version","PC1",0.00338519144941618,0.165005112164327,571
"REMOVE_WHITE","PC1",NA,NA,571
"REMOVE_NEOADJ","PC1",NA,NA,571
"REMOVE_LOW_EXPRESSION","PC1",NA,NA,571
"study","PC1",0.0592304840355591,3.82438303705857e-09,571
"race","PC1",0.0592304840355591,3.82438303705857e-09,571
"REMOVE_BLACK","PC1",NA,NA,571
"ran_in_way_pipeline","PC2",NA,NA,571
"ClusterK2_kmeans","PC2",0.00966104758173854,0.0188108535955833,571
"ClusterK3_kmeans","PC2",0.267769906522877,3.63003602691489e-39,571
"ClusterK4_kmeans","PC2",0.265548989464304,9.86135617274372e-38,571
"ClusterK2_NMF","PC2",0.015385516082425,0.00298819310016882,571
"ClusterK3_NMF","PC2",0.297821010147668,2.4614096722738e-44,571
"ClusterK4_NMF","PC2",0.356903601336779,5.04914297313865e-54,571
"ClusterK4_kmeans_TCGA_names","PC2",0.265548989464303,9.86135617273601e-38,571
"external_HGSCsubtype_estimate","PC2",0.582645163570438,5.60723099948904e-07,40
"failed_seq","PC2",NA,NA,571
"resequenced","PC2",0.0021007328981951,0.27421823031444,571
"low_qual","PC2",2.31719074839637e-05,0.908623166419865,571
"version","PC2",0.0120266011485154,0.00872349495062642,571
"REMOVE_WHITE","PC2",NA,NA,571
"REMOVE_NEOADJ","PC2",NA,NA,571
"REMOVE_LOW_EXPRESSION","PC2",NA,NA,571
"study","PC2",0.0912807352836633,1.62179140284295e-13,571
"race","PC2",0.0912807352836633,1.62179140284295e-13,571
"REMOVE_BLACK","PC2",NA,NA,571
"ran_in_way_pipeline","PC3",NA,NA,571
"ClusterK2_kmeans","PC3",0.00341993563066784,0.162849290041995,571
"ClusterK3_kmeans","PC3",0.15506634255828,1.65052205609121e-21,571
"ClusterK4_kmeans","PC3",0.171977480897642,4.6304115785148e-23,571
"ClusterK2_NMF","PC3",0.0248089831633334,0.000157375954733594,571
"ClusterK3_NMF","PC3",0.138862916631951,3.63522136687488e-19,571
"ClusterK4_NMF","PC3",0.242944475412584,5.09483898095702e-34,571
"ClusterK4_kmeans_TCGA_names","PC3",0.171977480897642,4.63041157851345e-23,571
"external_HGSCsubtype_estimate","PC3",0.299426613428552,0.00467688640410847,40
"failed_seq","PC3",NA,NA,571
"resequenced","PC3",0.00494212854013807,0.0932957007797531,571
"low_qual","PC3",0.0187275508355909,0.00104415397308692,571
"version","PC3",0.00322984392511762,0.175051885334978,571
"REMOVE_WHITE","PC3",NA,NA,571
"REMOVE_NEOADJ","PC3",NA,NA,571
"REMOVE_LOW_EXPRESSION","PC3",NA,NA,571
"study","PC3",0.00151503819351249,0.353192804096412,571
"race","PC3",0.00151503819351249,0.353192804096412,571
"REMOVE_BLACK","PC3",NA,NA,571
"ran_in_way_pipeline","PC4",NA,NA,571
"ClusterK2_kmeans","PC4",0.08949309955426,2.86390687704597e-13,571
"ClusterK3_kmeans","PC4",0.137438065523503,5.81355692033774e-19,571
"ClusterK4_kmeans","PC4",0.215337829065267,1.23358882391621e-29,571
"ClusterK2_NMF","PC4",0.0178999174870369,0.00135335594893427,571
"ClusterK3_NMF","PC4",0.186763539845,3.17382465359282e-26,571
"ClusterK4_NMF","PC4",0.170418730679566,7.85673186668563e-23,571
"ClusterK4_kmeans_TCGA_names","PC4",0.215337829065267,1.23358882391593e-29,571
"external_HGSCsubtype_estimate","PC4",0.255526878078974,0.0130665466502994,40
"failed_seq","PC4",NA,NA,571
"resequenced","PC4",0.00307603665674721,0.185697939609813,571
"low_qual","PC4",0.0059322037451033,0.0658919000622508,571
"version","PC4",0.00109502627366963,0.429985060802979,571
"REMOVE_WHITE","PC4",NA,NA,571
"REMOVE_NEOADJ","PC4",NA,NA,571
"REMOVE_LOW_EXPRESSION","PC4",NA,NA,571
