"eval_set",".metric",".estimator",".estimate","model"
"Combined 20% held-out","accuracy","multiclass",0.854700854700855,"random_forest"
"Combined 20% held-out","bal_accuracy","macro",0.887532999307648,"random_forest"
"Combined 20% held-out","kap","multiclass",0.798948751642576,"random_forest"
"Combined 20% held-out","f_meas","macro",0.838767069374339,"random_forest"
"Combined 20% held-out","roc_auc","hand_till",0.959861666431723,"random_forest"
"Held-out: Black","accuracy","multiclass",0.905660377358491,"random_forest"
"Held-out: Black","bal_accuracy","macro",0.892924636960047,"random_forest"
"Held-out: Black","kap","multiclass",0.862480539699014,"random_forest"
"Held-out: Black","f_meas","macro",0.800903119868637,"random_forest"
"Held-out: Black","roc_auc","hand_till",0.923597883597883,"random_forest"
"Held-out: White","accuracy","multiclass",0.8125,"random_forest"
"Held-out: White","bal_accuracy","macro",0.87774793629573,"random_forest"
"Held-out: White","kap","multiclass",0.743401269629135,"random_forest"
"Held-out: White","f_meas","macro",0.815624190624191,"random_forest"
"Held-out: White","roc_auc","hand_till",0.960457052139037,"random_forest"
